average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[10, 30, 150]",0.4577,0.6176,0.1773,0.4667,0.6353,1.031,0.5643,338.6%,180,234,122,46,119,701,140.2%,41.4%,198.35%,34.5%
"[15, 30, 144]",0.458,0.6635,0.0042,0.2855,0.841,1.0762,0.5547,332.8%,171,221,128,43,113,676,135.2%,40.6%,197.63%,33.9%
"[15, 21, 89]",0.4181,1.0155,0.3169,0.3663,0.6995,1.257,0.6789,407.3%,282,358,179,65,165,1049,209.8%,51.5%,197.52%,36.8%
"[10, 25, 50]",0.3114,1.0945,0.3259,0.1019,0.6595,0.7769,0.545,327.0%,156,226,121,40,113,656,131.2%,40.1%,195.81%,31.2%
"[13, 30, 50]",0.4629,0.354,0.2065,0.1113,0.8869,0.9601,0.497,298.2%,125,172,87,37,96,517,103.4%,34.7%,194.78%,31.9%
"[10, 25, 55]",0.4023,1.073,0.3264,0.1069,0.6391,0.7655,0.5522,331.3%,163,238,125,42,116,684,136.8%,41.3%,194.52%,31.3%
"[10, 13, 50]",0.2405,1.1353,0.542,0.2724,2.1085,1.5834,0.9803,588.2%,550,662,334,119,306,1971,394.2%,67.0%,194.00%,38.7%
"[10, 30, 55]",0.5517,0.7013,0.1659,0.225,0.4906,0.9228,0.5095,305.7%,142,188,85,41,103,559,111.8%,36.6%,193.92%,34.1%
"[15, 30, 60]",0.5296,0.677,0.0167,0.1399,0.7626,0.9372,0.5105,306.3%,140,189,99,39,96,563,112.6%,36.8%,193.71%,33.1%
"[5, 15, 200]",0.6026,0.8998,0.4497,0.168,1.0878,1.5102,0.7864,471.8%,423,437,222,78,232,1392,278.4%,59.0%,193.41%,43.7%
"[5, 21, 60]",0.5113,1.2502,0.2932,0.0744,0.6415,1.1865,0.6595,395.7%,260,358,166,60,170,1014,202.8%,51.2%,192.91%,34.5%
"[21, 25, 34]",0.2604,-0.0113,0.3294,0.4975,0.973,1.5413,0.5984,359.0%,229,277,140,48,138,832,166.4%,46.3%,192.64%,38.0%
"[13, 30, 55]",0.4435,0.3815,0.2187,0.1678,0.8416,0.9455,0.4997,299.9%,133,179,89,37,99,537,107.4%,35.8%,192.45%,32.9%
"[8, 13, 55]",0.7307,1.2404,0.3877,0.2792,1.314,1.0859,0.8397,503.8%,438,523,251,92,253,1557,311.4%,61.8%,192.40%,39.1%
"[15, 21, 150]",0.3311,0.8669,0.4096,0.3963,0.7406,1.3428,0.6812,408.7%,307,366,178,66,172,1089,217.8%,53.3%,190.93%,39.3%
"[10, 30, 60]",0.5426,0.76,0.1156,0.2291,0.4906,0.909,0.5078,304.7%,143,196,88,42,102,571,114.2%,37.5%,190.49%,33.4%
"[15, 21, 144]",0.3415,0.8669,0.3638,0.412,0.7406,1.3498,0.6791,407.5%,306,365,178,65,172,1086,217.2%,53.3%,190.26%,39.2%
"[5, 25, 55]",0.864,1.3986,0.419,0.0087,0.2958,0.6456,0.6053,363.2%,223,303,141,49,150,866,173.2%,47.7%,189.97%,34.7%
"[15, 21, 233]",0.4398,0.6614,0.4049,0.3867,0.7878,1.4076,0.6813,408.8%,302,369,183,73,169,1096,219.2%,53.6%,189.60%,38.0%
"[10, 30, 40]",0.6233,0.7112,0.1072,0.1294,0.4592,0.8028,0.4722,283.3%,116,156,71,32,94,469,93.8%,33.1%,189.51%,32.9%
"[8, 25, 144]",0.866,0.9806,0.1541,0.2308,0.5427,0.7305,0.5841,350.5%,211,285,130,45,137,808,161.6%,46.1%,188.87%,35.3%
"[15, 21, 100]",0.4063,0.9904,0.4061,0.3427,0.6276,1.2493,0.6704,402.3%,294,358,183,66,167,1068,213.6%,53.1%,188.65%,38.0%
"[8, 21, 233]",1.0879,1.0439,0.1605,0.0821,0.5444,0.9556,0.6457,387.4%,270,338,163,66,161,998,199.6%,51.5%,187.84%,37.1%
"[5, 21, 34]",0.5069,0.9646,0.2459,-0.0117,0.6352,1.1693,0.585,351.0%,209,283,138,42,144,816,163.2%,46.5%,187.82%,34.4%
"[10, 13, 40]",0.2661,1.1341,0.4849,0.2932,2.1521,1.361,0.9485,569.1%,532,633,332,114,296,1907,381.4%,67.0%,187.73%,38.7%
"[8, 21, 200]",1.0437,1.087,0.155,-0.0154,0.4771,1.107,0.6424,385.4%,270,335,157,65,163,990,198.0%,51.4%,187.44%,37.5%
"[5, 13, 60]",0.9442,1.1337,0.1935,0.2352,1.1487,1.2352,0.8151,489.1%,418,514,249,82,246,1509,301.8%,61.7%,187.25%,38.3%
"[10, 30, 144]",0.4935,0.5459,0.1167,0.4331,0.6437,1.031,0.544,326.4%,178,234,122,47,116,697,139.4%,42.7%,186.99%,34.3%
"[5, 25, 150]",0.8061,1.3281,0.1708,0.2347,0.4783,0.7877,0.6343,380.6%,264,331,160,55,164,974,194.8%,51.2%,185.76%,37.2%
"[13, 30, 60]",0.4194,0.4193,0.1374,0.2043,0.8416,0.9317,0.4923,295.4%,136,185,91,38,98,548,109.6%,37.1%,185.76%,33.0%
"[8, 15, 200]",0.4541,0.7706,0.3258,0.1388,1.0615,1.8262,0.7628,457.7%,394,438,231,74,223,1360,272.0%,59.4%,185.71%,40.8%
"[5, 15, 144]",0.4673,1.3663,0.4634,0.1032,0.8824,1.3807,0.7772,466.3%,425,446,226,73,234,1404,280.8%,60.2%,185.53%,43.4%
"[5, 15, 150]",0.4491,1.264,0.464,0.1705,0.9083,1.3931,0.7748,464.9%,424,443,226,74,233,1400,280.0%,60.2%,184.90%,43.4%
"[10, 25, 60]",0.3933,1.1075,0.3009,0.1071,0.5406,0.7826,0.5387,323.2%,167,242,125,42,117,693,138.6%,42.9%,184.60%,31.7%
"[5, 21, 89]",0.6076,1.2224,0.257,0.0973,0.5862,1.1868,0.6595,395.7%,273,368,175,64,177,1057,211.4%,53.4%,184.33%,34.8%
"[10, 15, 75]",0.5866,0.9396,0.1374,0.1504,1.2501,1.7153,0.7966,477.9%,388,507,266,81,231,1473,294.6%,61.6%,183.34%,35.8%
"[13, 25, 200]",0.4728,0.6644,0.1038,0.3639,0.6387,1.2754,0.5865,351.9%,223,275,157,50,138,843,168.6%,47.9%,183.30%,36.0%
"[10, 21, 200]",1.028,0.8359,0.1711,0.0931,0.5199,1.141,0.6315,378.9%,269,331,158,61,165,984,196.8%,51.9%,182.10%,37.6%
"[10, 25, 40]",0.3,0.8695,0.341,0.0592,0.6619,0.7603,0.4986,299.2%,141,202,110,33,101,587,117.4%,39.2%,181.79%,31.6%
"[8, 30, 150]",0.5824,0.5111,0.1328,0.5478,0.4532,1.0587,0.5477,328.6%,198,244,119,47,127,735,147.0%,44.7%,181.60%,36.9%
"[5, 21, 200]",0.7484,0.7103,0.2984,0.0958,0.7083,1.5104,0.6786,407.2%,306,386,181,72,185,1130,226.0%,55.5%,181.15%,37.1%
"[8, 25, 89]",0.9136,1.1894,0.2495,0.1066,0.2604,0.5791,0.5498,329.9%,188,264,123,40,129,744,148.8%,45.1%,181.07%,33.8%
"[8, 25, 100]",0.8468,1.1782,0.2243,0.1476,0.2599,0.6783,0.5558,333.5%,195,272,126,40,130,763,152.6%,45.8%,180.91%,34.3%
"[10, 25, 200]",0.6933,0.6177,0.231,0.2554,0.7282,0.9119,0.5729,343.8%,211,275,152,49,128,815,163.0%,47.4%,180.75%,34.9%
"[5, 15, 55]",0.5272,0.9928,0.5125,-0.0313,1.1693,1.2591,0.7383,443.0%,379,434,213,71,216,1313,262.6%,59.3%,180.36%,40.6%
"[5, 21, 50]",0.3767,1.127,0.275,0.017,0.7499,1.1949,0.6234,374.1%,251,341,159,59,162,972,194.4%,52.0%,179.65%,34.8%
"[10, 25, 233]",0.6929,0.5576,0.2575,0.2476,0.8184,0.8542,0.5714,342.8%,208,276,155,50,127,816,163.2%,47.6%,179.62%,34.2%
"[5, 15, 233]",0.7606,0.7671,0.4529,0.1278,1.0813,1.3737,0.7606,456.3%,424,436,224,78,230,1392,278.4%,61.0%,177.94%,43.8%
"[13, 25, 233]",0.4712,0.604,0.1296,0.3559,0.6938,1.2134,0.578,346.8%,222,277,159,51,137,846,169.2%,48.8%,177.60%,35.6%
"[5, 25, 40]",0.8426,1.2359,0.4134,-0.0237,0.2963,0.5415,0.551,330.6%,194,272,129,43,129,767,153.4%,46.4%,177.20%,33.9%
"[5, 25, 100]",0.8079,1.5509,0.2568,0.1215,0.2307,0.6586,0.6044,362.6%,245,332,151,48,154,930,186.0%,51.3%,176.64%,35.8%
"[10, 15, 60]",0.6407,0.9558,0.1466,0.0763,1.2025,1.6675,0.7815,468.9%,380,506,270,81,227,1464,292.8%,62.4%,176.13%,35.1%
"[8, 30, 144]",0.6182,0.5111,0.0722,0.5244,0.4158,1.0561,0.533,319.8%,195,243,119,47,124,728,145.6%,45.5%,174.19%,36.6%
"[10, 15, 55]",0.6851,0.9318,0.1506,0.0404,1.3166,1.5334,0.7763,465.8%,375,501,276,83,224,1459,291.8%,62.6%,173.99%,34.6%
"[5, 25, 144]",0.7955,1.3281,0.186,0.2128,0.4045,0.7568,0.6139,368.4%,264,333,160,55,162,974,194.8%,52.9%,173.57%,37.2%
"[15, 25, 200]",0.4854,0.5881,0.0612,0.3998,0.847,1.0078,0.5649,338.9%,214,284,149,48,133,828,165.6%,48.9%,173.34%,34.9%
"[8, 30, 60]",0.7582,0.5166,0.1313,0.4209,0.2156,0.9048,0.4912,294.7%,163,204,93,42,112,614,122.8%,41.7%,171.94%,36.1%
"[5, 25, 60]",0.7886,1.3765,0.3634,0.0128,0.2792,0.643,0.5772,346.3%,226,310,144,47,147,874,174.8%,50.5%,171.54%,34.9%
"[13, 21, 40]",0.2145,0.4788,0.1483,0.1876,0.8891,1.4664,0.5641,338.5%,214,295,134,54,138,835,167.0%,49.3%,171.47%,34.5%
"[5, 21, 233]",0.8528,0.6783,0.3024,0.1007,0.6869,1.3613,0.6637,398.2%,308,385,185,73,183,1134,226.8%,57.0%,171.44%,37.3%
"[5, 21, 150]",0.5405,1.0178,0.3636,0.0605,0.6495,1.3185,0.6584,395.0%,304,379,179,73,183,1118,223.6%,56.6%,171.43%,37.3%
