average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,Profit before fees,0,1,2,3,4,total_trades,Fees (%),% paid in fees,Profit after fees,Loss rate
"[8, 89, 233]",0.1575,0.2173,0.0677,0.2964,0.2592,0.1622,0.1934,116.0%,104,103,44,26,52,329,65.8%,56.7%,50.23%,46.2%
"[8, 89, 144]",0.235,0.2578,0.0664,0.2665,0.1587,0.1583,0.1905,114.3%,105,101,44,24,51,325,65.0%,56.9%,49.27%,47.7%
"[21, 40, 144]",0.3306,0.1393,0.1052,0.2465,0.4706,0.2318,0.254,152.4%,153,168,94,28,77,520,104.0%,68.2%,48.39%,41.7%
"[21, 55, 100]",0.2895,0.5388,-0.0094,-0.0461,0.3471,0.0131,0.1888,113.3%,84,119,51,33,40,327,65.4%,57.7%,47.91%,34.6%
"[21, 40, 150]",0.3351,0.1414,0.143,0.2363,0.4489,0.2208,0.2542,152.6%,155,169,98,28,78,528,105.6%,69.2%,46.95%,41.6%
"[21, 55, 89]",0.2888,0.5388,0.0127,-0.0384,0.2914,0.01,0.1839,110.3%,82,113,50,34,40,319,63.8%,57.8%,46.54%,34.6%
"[8, 60, 89]",0.0645,0.0133,-0.0159,0.1984,0.2046,0.7994,0.2107,126.4%,120,131,67,22,64,404,80.8%,63.9%,45.64%,42.3%
"[21, 40, 200]",0.353,-0.0029,0.1362,0.3,0.4544,0.3186,0.2599,155.9%,163,182,102,26,82,555,111.0%,71.2%,44.92%,41.6%
"[21, 40, 89]",0.3612,0.238,0.0037,0.2717,0.1648,0.3501,0.2316,139.0%,140,150,85,26,71,472,94.4%,67.9%,44.55%,42.2%
"[15, 75, 150]",0.1758,0.105,-0.1145,0.0923,0.5788,0.133,0.1617,97.0%,79,87,49,28,26,269,53.8%,55.4%,43.24%,41.6%
"[8, 89, 150]",0.1588,0.2465,0.0675,0.2665,0.1833,0.1583,0.1801,108.1%,105,102,44,24,50,325,65.0%,60.1%,43.08%,47.7%
"[8, 60, 75]",0.063,0.0817,-0.0798,0.1918,0.1927,0.7693,0.2031,121.9%,118,130,63,20,63,394,78.8%,64.7%,43.07%,42.8%
"[8, 89, 200]",0.1955,0.1763,0.0681,0.2964,0.1283,0.2138,0.1797,107.9%,104,100,45,26,50,325,65.0%,60.3%,42.85%,47.1%
"[15, 75, 144]",0.1758,0.105,-0.1145,0.074,0.5839,0.133,0.1595,95.7%,80,86,50,28,26,270,54.0%,56.4%,41.72%,42.1%
"[5, 40, 100]",0.3489,0.4885,-0.1737,0.3317,0.1836,0.6794,0.3097,185.8%,207,255,108,41,111,722,144.4%,77.7%,41.44%,40.2%
"[5, 89, 100]",0.2163,0.3301,0.0193,0.1686,-0.0714,0.4767,0.1899,114.0%,127,122,53,21,62,385,77.0%,67.6%,36.96%,49.2%
"[5, 75, 150]",-0.1356,0.5079,-0.2679,0.0432,0.4672,0.6278,0.2071,124.3%,146,133,65,23,74,441,88.2%,71.0%,36.07%,49.5%
"[21, 40, 233]",0.3304,-0.0178,0.1611,0.2889,0.4603,0.264,0.2478,148.7%,166,187,103,27,81,564,112.8%,75.9%,35.90%,41.7%
"[15, 75, 233]",0.3784,0.0053,-0.1543,0.1017,0.4697,0.1156,0.1527,91.6%,82,95,48,29,28,282,56.4%,61.6%,35.23%,41.0%
"[21, 55, 233]",0.3155,0.51,-0.0416,0.0195,0.1995,0.1169,0.1866,112.0%,102,145,59,25,59,390,78.0%,69.7%,33.98%,35.4%
"[5, 40, 50]",0.3103,0.2814,-0.1805,0.3488,0.2919,0.5372,0.2649,158.9%,186,212,94,41,95,628,125.6%,79.0%,33.32%,42.1%
"[15, 75, 200]",0.3404,0.0233,-0.139,0.1007,0.47,0.1118,0.1512,90.7%,83,97,50,29,28,287,57.4%,63.3%,33.32%,40.7%
"[5, 40, 144]",0.2851,0.3803,-0.2265,0.3584,0.3174,0.7079,0.3038,182.3%,224,258,112,43,115,752,150.4%,82.5%,31.87%,42.4%
"[21, 55, 200]",0.3193,0.44,-0.0429,0.0195,0.213,0.1162,0.1775,106.5%,100,141,60,24,57,382,76.4%,71.7%,30.10%,35.5%
"[5, 75, 144]",-0.1356,0.4929,-0.2679,0.0213,0.4672,0.5973,0.1959,117.5%,146,132,65,23,73,439,87.8%,74.7%,29.73%,49.8%
"[10, 75, 144]",0.0147,0.2074,-0.1504,0.0631,0.3344,0.509,0.163,97.8%,110,104,60,27,50,351,70.2%,71.8%,27.63%,45.6%
"[5, 40, 150]",0.2851,0.3819,-0.2275,0.3425,0.3066,0.697,0.2976,178.6%,227,257,115,42,115,756,151.2%,84.7%,27.36%,42.9%
"[5, 40, 75]",0.405,0.3857,-0.1779,0.4103,0.1189,0.4724,0.2691,161.4%,197,241,99,41,100,678,135.6%,84.0%,25.84%,41.0%
"[5, 40, 89]",0.4311,0.4214,-0.1411,0.3657,0.0787,0.5054,0.2769,166.1%,207,250,102,38,106,703,140.6%,84.6%,25.52%,41.7%
"[10, 75, 200]",0.1133,0.246,-0.1791,0.1298,0.2236,0.4342,0.1613,96.8%,112,108,61,31,51,363,72.6%,75.0%,24.18%,44.6%
"[10, 75, 150]",0.0147,0.2377,-0.1504,0.0814,0.247,0.509,0.1566,94.0%,110,105,59,27,50,351,70.2%,74.7%,23.75%,45.6%
"[13, 40, 55]",0.2132,0.1893,-0.1999,-0.1196,0.1888,0.8249,0.1828,109.7%,134,142,70,23,71,440,88.0%,80.2%,21.68%,43.8%
"[5, 75, 200]",-0.0547,0.3992,-0.2713,0.0602,0.3376,0.6342,0.1842,110.5%,147,139,67,26,72,451,90.2%,81.6%,20.31%,48.4%
"[5, 75, 233]",0.012,0.3542,-0.2681,0.0362,0.3368,0.6182,0.1815,108.9%,147,135,68,27,72,449,89.8%,82.4%,19.12%,48.7%
"[10, 75, 233]",0.1284,0.2014,-0.1781,0.0912,0.2356,0.4147,0.1489,89.3%,114,106,60,31,50,361,72.2%,80.8%,17.13%,46.2%
"[5, 89, 200]",0.1328,0.1971,-0.0759,0.1545,0.0674,0.4658,0.157,94.2%,134,113,53,28,59,387,77.4%,82.2%,16.78%,53.0%
"[5, 40, 55]",0.344,0.3701,-0.1849,0.3304,0.0589,0.4976,0.236,141.6%,193,219,92,41,96,641,128.2%,90.5%,13.41%,43.1%
"[5, 89, 144]",0.0499,0.2457,-0.0783,0.1421,0.0754,0.4692,0.1507,90.4%,133,113,53,28,58,385,77.0%,85.2%,13.40%,52.8%
"[5, 40, 60]",0.3305,0.4004,-0.1834,0.3337,0.0619,0.4992,0.2404,144.2%,196,228,96,41,97,658,131.6%,91.2%,12.63%,42.4%
"[13, 40, 100]",0.2744,0.2369,-0.214,-0.1921,0.2457,0.7974,0.1914,114.8%,157,170,80,29,76,512,102.4%,89.2%,12.44%,44.2%
"[8, 75, 89]",0.0393,-0.1576,-0.0991,0.2723,0.2809,0.5314,0.1445,86.7%,123,120,56,21,55,375,75.0%,86.5%,11.72%,48.8%
"[13, 40, 50]",0.2017,0.1319,-0.2238,-0.0912,0.09,0.8445,0.1588,95.3%,132,133,67,21,67,420,84.0%,88.1%,11.31%,45.8%
"[13, 40, 233]",0.2617,0.1293,-0.1077,-0.1353,0.4403,0.6592,0.2079,124.7%,174,191,92,30,82,569,113.8%,91.2%,10.94%,44.1%
"[13, 40, 200]",0.2203,0.0511,-0.1115,-0.1256,0.4321,0.7675,0.2056,123.4%,174,188,91,29,84,566,113.2%,91.7%,10.19%,44.4%
"[8, 75, 100]",-0.0106,-0.1042,-0.1009,0.2521,0.2757,0.5328,0.1408,84.5%,122,124,57,20,55,378,75.6%,89.5%,8.90%,47.7%
"[5, 40, 200]",0.3693,-0.0089,-0.2127,0.4058,0.432,0.6676,0.2755,165.3%,243,257,125,42,118,785,157.0%,95.0%,8.31%,44.8%
"[5, 89, 233]",0.125,0.1965,-0.0851,0.1545,0.0575,0.4053,0.1423,85.4%,138,115,53,28,60,394,78.8%,92.3%,6.57%,53.9%
"[5, 89, 150]",-0.0282,0.2457,-0.0771,0.1421,0.0754,0.4692,0.1378,82.7%,133,113,53,28,57,384,76.8%,92.9%,5.91%,53.0%
"[13, 75, 100]",0.0652,0.1031,-0.1528,0.0294,0.3859,0.171,0.1003,60.2%,82,83,57,19,33,274,54.8%,91.1%,5.38%,42.7%
"[13, 40, 60]",0.2011,0.1601,-0.2128,-0.1179,0.1576,0.7722,0.16,96.0%,143,149,72,24,71,459,91.8%,95.6%,4.23%,45.3%
"[13, 40, 150]",0.1898,0.2202,-0.1907,-0.1853,0.3895,0.7173,0.1901,114.1%,173,182,87,28,82,552,110.4%,96.8%,3.66%,45.6%
"[13, 40, 75]",0.2628,0.1748,-0.2241,-0.1506,0.1518,0.7592,0.1623,97.4%,150,155,73,26,71,475,95.0%,97.5%,2.39%,46.2%
"[13, 40, 89]",0.2533,0.2088,-0.2124,-0.1573,0.1225,0.7872,0.167,100.2%,154,161,75,27,73,490,98.0%,97.8%,2.21%,45.8%
"[13, 75, 89]",0.0662,0.0637,-0.1318,0.0292,0.3324,0.1924,0.092,55.2%,81,81,55,19,31,267,53.4%,96.8%,1.79%,43.5%
"[15, 75, 100]",0.0651,0.0383,-0.146,0.0385,0.4995,0.0002,0.0826,49.6%,80,76,52,27,17,252,50.4%,101.7%,-0.84%,46.5%
"[15, 75, 89]",0.064,0.0214,-0.1397,0.0711,0.4487,0.0226,0.0813,48.8%,80,74,51,27,17,249,49.8%,102.0%,-1.00%,47.3%
"[5, 40, 233]",0.4156,0.0154,-0.1681,0.3859,0.3931,0.487,0.2548,152.9%,245,257,126,43,117,788,157.6%,103.1%,-4.70%,45.1%
"[13, 40, 144]",0.1898,0.2175,-0.2349,-0.1893,0.3277,0.7283,0.1732,103.9%,172,183,84,28,80,547,109.4%,105.3%,-5.49%,45.9%
"[10, 75, 89]",-0.0431,0.0357,-0.2193,0.1321,0.1938,0.3101,0.0682,40.9%,104,101,57,22,39,323,64.6%,157.9%,-23.68%,47.5%
"[15, 40, 55]",0.2563,0.2161,-0.1277,-0.0419,-0.0672,0.3182,0.0923,55.4%,128,140,73,24,56,421,84.2%,152.1%,-28.83%,43.7%
"[15, 40, 233]",0.2415,0.0841,-0.0269,-0.0461,0.2508,0.3227,0.1377,82.6%,166,192,98,30,73,559,111.8%,135.3%,-29.19%,42.2%
"[5, 75, 89]",-0.1714,0.1555,-0.0918,0.0745,0.3016,0.2712,0.0899,53.9%,149,133,68,20,60,430,86.0%,159.4%,-32.06%,53.0%
"[10, 75, 100]",-0.0937,0.074,-0.2373,0.048,0.2353,0.2772,0.0506,30.3%,108,102,59,23,38,330,66.0%,217.5%,-35.66%,48.6%
"[15, 40, 200]",0.1845,0.0395,-0.03,-0.0529,0.2427,0.3568,0.1234,74.1%,167,188,98,29,73,555,111.0%,149.9%,-36.94%,43.0%
"[15, 40, 100]",0.2324,0.2221,-0.1416,-0.1293,0.0405,0.3672,0.0985,59.1%,155,167,87,29,65,503,100.6%,170.1%,-41.47%,44.5%
"[5, 75, 100]",-0.1712,0.1785,-0.2611,0.0157,0.296,0.3536,0.0686,41.2%,149,132,68,20,60,429,85.8%,208.5%,-44.65%,53.2%
"[15, 40, 150]",0.1613,0.182,-0.1145,-0.1209,0.2187,0.2853,0.102,61.2%,168,179,93,29,70,539,107.8%,176.2%,-46.61%,45.3%
"[15, 40, 60]",0.2041,0.1592,-0.142,-0.0403,-0.096,0.3334,0.0697,41.8%,138,147,76,25,57,443,88.6%,211.8%,-46.76%,45.2%
"[15, 40, 50]",0.2363,0.104,-0.1508,-0.0176,-0.1442,0.2939,0.0536,32.2%,127,132,68,22,50,399,79.8%,248.2%,-47.65%,46.7%
"[15, 40, 144]",0.1613,0.2148,-0.1523,-0.1263,0.1569,0.2962,0.0918,55.1%,167,178,91,29,69,534,106.8%,193.9%,-51.72%,45.5%
"[15, 40, 75]",0.2657,0.1264,-0.1517,-0.0664,-0.0706,0.3067,0.0683,41.0%,148,151,81,27,59,466,93.2%,227.3%,-52.19%,46.5%
"[15, 40, 89]",0.2127,0.1604,-0.1412,-0.073,-0.1007,0.357,0.0692,41.5%,152,157,83,27,61,480,96.0%,231.3%,-54.49%,46.3%
