date,open,high,low,close,volume,signal
2019-03-28 08:00:00.000,16.6613,16.6977,16.54,16.63,218226.67,
2019-03-28 09:00:00.000,16.6411,16.6799,16.6045,16.6635,168233.01,
2019-03-28 10:00:00.000,16.6696,16.6799,16.5588,16.5769,123479.68,
2019-03-28 11:00:00.000,16.5925,16.6388,16.5612,16.6126,92907.2,
2019-03-28 12:00:00.000,16.6191,16.65,16.5744,16.5873,87610.51,
2019-03-28 13:00:00.000,16.5878,16.6303,16.5878,16.5941,82287.12,
2019-03-28 14:00:00.000,16.5991,16.65,16.58,16.6317,131996.47,
2019-03-28 15:00:00.000,16.6316,16.65,16.62,16.65,154926.49,
2019-03-28 16:00:00.000,16.6425,16.6696,16.6137,16.6207,113163.36,
2019-03-28 17:00:00.000,16.622,16.6856,16.5174,16.5993,98431.43,
2019-03-28 18:00:00.000,16.5932,16.6702,16.55,16.6665,51696.26,
2019-03-28 19:00:00.000,16.6538,16.6759,16.5786,16.6258,75216.32,
2019-03-28 20:00:00.000,16.6255,16.66,16.575,16.585,127716.46,
2019-03-28 21:00:00.000,16.585,16.74,16.5795,16.734,152240.19,
2019-03-28 22:00:00.000,16.74,16.7814,16.69,16.7472,111697.69,
2019-03-28 23:00:00.000,16.7556,16.78,16.68,16.687,109995.66,
2019-03-29 00:00:00.000,16.682000000000002,16.7023,16.6026,16.6887,97595.54,
2019-03-29 01:00:00.000,16.6899,16.725,16.6501,16.7249,118220.57,
2019-03-29 02:00:00.000,16.7249,16.7574,16.657,16.7284,139938.87,
2019-03-29 03:00:00.000,16.7285,16.74,16.6761,16.6881,116919.62,
2019-03-29 04:00:00.000,16.6883,16.8067,16.676,16.7768,125772.56,
2019-03-29 05:00:00.000,16.7707,16.7852,16.69,16.7519,90345.78,
2019-03-29 06:00:00.000,16.7518,16.7956,16.6942,16.7308,76903.66,
2019-03-29 07:00:00.000,16.73,16.7321,16.4257,16.4942,205174.91,
2019-03-29 08:00:00.000,16.4908,16.5294,16.4249,16.4909,91105.45,
2019-03-29 09:00:00.000,16.4992,16.5,16.4275,16.428,59683.64,
2019-03-29 10:00:00.000,16.4275,16.4996,16.4275,16.4711,44862.41,
2019-03-29 11:00:00.000,16.4711,16.4899,16.45,16.4688,43598.45,
2019-03-29 12:00:00.000,16.4689,16.4856,16.377,16.4185,93870.74,
2019-03-29 13:00:00.000,16.4247,16.5,16.4099,16.4995,145340.91,
2019-03-29 14:00:00.000,16.4997,16.5,16.414,16.4259,110022.89,
2019-03-29 15:00:00.000,16.4254,16.5,16.4161,16.4996,185424.02,
2019-03-29 16:00:00.000,16.4994,16.5,16.47,16.479,165702.6,
2019-03-29 17:00:00.000,16.4789,16.5,16.4789,16.489,162673.75,
2019-03-29 18:00:00.000,16.4889,16.5,16.45,16.4753,87150.51,
2019-03-29 19:00:00.000,16.4949,16.4971,16.2078,16.2609,141816.49,
2019-03-29 20:00:00.000,16.2611,16.4374,16.2231,16.3621,64819.27,
2019-03-29 21:00:00.000,16.362000000000002,16.3738,16.2712,16.3424,50652.1,
2019-03-29 22:00:00.000,16.332,16.3384,16.0768,16.116,86748.13,
2019-03-29 23:00:00.000,16.11,16.3744,15.9612,16.3744,127588.22,
2019-03-30 00:00:00.000,16.3674,16.41,16.2624,16.41,65863.33,
2019-03-30 01:00:00.000,16.4104,16.42,16.36,16.4186,52429.88,
2019-03-30 02:00:00.000,16.4188,16.42,16.3296,16.367,39618.74,
2019-03-30 03:00:00.000,16.3629,16.42,16.24,16.397000000000002,89546.84,
2019-03-30 04:00:00.000,16.3879,16.48,16.3,16.4324,110415.22,
2019-03-30 05:00:00.000,16.403,16.6395,16.4,16.6097,148986.57,
2019-03-30 06:00:00.000,16.6097,16.629,16.4561,16.487000000000002,111343.57,
2019-03-30 07:00:00.000,16.4896,16.5499,16.455,16.5052,109179.11,
2019-03-30 08:00:00.000,16.5111,16.5459,16.4357,16.5252,174304.92,
2019-03-30 09:00:00.000,16.5268,16.5459,16.4754,16.5153,164515.57,
2019-03-30 10:00:00.000,16.5152,16.5651,16.4445,16.511,105141.83,
2019-03-30 11:00:00.000,16.5112,16.5188,16.35,16.4483,63849.38,
2019-03-30 12:00:00.000,16.4555,16.4862,16.4333,16.4613,49045.1,
2019-03-30 13:00:00.000,16.4619,16.525,16.4562,16.52,74697.8,
2019-03-30 14:00:00.000,16.5137,16.599,16.5101,16.59,127601.16,
2019-03-30 15:00:00.000,16.5872,16.66,16.5744,16.6338,99440.92,
2019-03-30 16:00:00.000,16.6395,16.7701,16.6251,16.77,170616.88,
2019-03-30 17:00:00.000,16.77,16.8,16.7,16.796,269924.8,
2019-03-30 18:00:00.000,16.7944,16.985,16.7648,16.9666,291905.1,
2019-03-30 19:00:00.000,16.9666,16.9673,16.7314,16.8163,122384.19,
2019-03-30 20:00:00.000,16.8157,16.8899,16.75,16.8638,115999.18,
2019-03-30 21:00:00.000,16.864,16.8866,16.8099,16.8835,112038.31,
2019-03-30 22:00:00.000,16.8825,17.201,16.8625,17.1699,208517.82,
2019-03-30 23:00:00.000,17.1696,17.7386,17.1093,17.4924,407186.71,
2019-03-31 00:00:00.000,17.4923,17.6666,17.3843,17.5761,143004.93,
2019-03-31 01:00:00.000,17.5763,17.6154,17.4012,17.4626,72295.8,
2019-03-31 02:00:00.000,17.4854,17.4895,17.2629,17.2746,59197.84,
2019-03-31 03:00:00.000,17.2809,17.486,17.22,17.3379,110755.92,
2019-03-31 04:00:00.000,17.3432,17.3553,17.2732,17.3402,37802.05,
2019-03-31 05:00:00.000,17.34,17.62,17.34,17.5409,89293.08,
2019-03-31 06:00:00.000,17.5453,17.5503,17.3771,17.3771,67922.11,
2019-03-31 07:00:00.000,17.3811,17.4421,17.266,17.2731,64458.56,
2019-03-31 08:00:00.000,17.2653,17.43,17.2396,17.3472,84160.76,
2019-03-31 09:00:00.000,17.3495,17.4092,17.3088,17.3313,163895.25,
2019-03-31 10:00:00.000,17.3363,17.3363,17.1402,17.1606,132586.23,
2019-03-31 11:00:00.000,17.163,17.35,17.1627,17.3328,131207.48,
2019-03-31 12:00:00.000,17.3204,17.4325,17.3038,17.3975,140726.67,
2019-03-31 13:00:00.000,17.3903,17.4059,17.3296,17.3648,184499.71,
2019-03-31 14:00:00.000,17.3631,17.4499,17.3537,17.4405,174533.96,
2019-03-31 15:00:00.000,17.435,17.48,17.38,17.3808,204250.66,
2019-03-31 16:00:00.000,17.3808,17.5431,17.3653,17.529,148414.08,
2019-03-31 17:00:00.000,17.5292,17.5495,17.4595,17.5251,105250.12,
2019-03-31 18:00:00.000,17.525,17.5716,17.3362,17.5376,102583.43,
2019-03-31 19:00:00.000,17.5201,17.5359,17.3319,17.4632,94119.46,
2019-03-31 20:00:00.000,17.4671,17.5105,17.3545,17.3846,105316.68,
2019-03-31 21:00:00.000,17.3847,17.5385,17.3747,17.3905,131234.36,
2019-03-31 22:00:00.000,17.3939,17.5,17.3901,17.488,84450.9,
2019-03-31 23:00:00.000,17.4993,17.55,17.429000000000002,17.5446,136377.16,
2019-04-01 00:00:00.000,17.5459,17.5961,17.47,17.4999,69300.24,
2019-04-01 01:00:00.000,17.4993,17.5301,17.4391,17.4622,110589.55,
2019-04-01 02:00:00.000,17.4557,17.517,17.4,17.4051,91965.1,
2019-04-01 03:00:00.000,17.4149,17.4407,17.38,17.436,85680.52,
2019-04-01 04:00:00.000,17.4359,17.4461,17.389,17.4342,85968.13,
2019-04-01 05:00:00.000,17.4342,17.55,17.385,17.548,109943.7,
2019-04-01 06:00:00.000,17.55,18.2576,17.4816,18.0638,487525.4,
2019-04-01 07:00:00.000,18.0817,18.1437,17.7642,17.78,178512.14,
2019-04-01 08:00:00.000,17.7905,17.9888,17.7345,17.96,97893.58,
2019-04-01 09:00:00.000,17.96,18.0418,17.8829,17.8952,67805.42,
2019-04-01 10:00:00.000,17.8896,18.0299,17.8896,18.0037,49400.83,
2019-04-01 11:00:00.000,18.0002,18.0301,17.9483,17.9523,29324.96,
2019-04-01 12:00:00.000,17.9523,18.0131,17.9435,17.9671,77491.74,
2019-04-01 13:00:00.000,17.9627,17.9766,17.842,17.8801,132621.63,
2019-04-01 14:00:00.000,17.88,17.94,17.8505,17.93,126697.1,
2019-04-01 15:00:00.000,17.9269,17.93,17.8334,17.8721,136393.0,
2019-04-01 16:00:00.000,17.8683,17.9142,17.74,17.7659,223336.66,
2019-04-01 17:00:00.000,17.7704,17.9544,17.7522,17.8083,167875.44,
2019-04-01 18:00:00.000,17.8192,17.9396,17.7873,17.8888,86381.01,
2019-04-01 19:00:00.000,17.8888,17.994,17.8436,17.9387,103250.94,
2019-04-01 20:00:00.000,17.9459,17.9523,17.85,17.8971,82042.68,
