,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
1685,2,8,16,48,35961.41987168706
1686,2,8,18,48,35961.41987168706
1687,2,8,20,48,35961.41987168706
1688,2,8,22,48,35961.41987168706
1689,2,8,24,48,35961.41987168706
1690,2,9,6,48,37546.26037530435
1691,2,9,8,48,36329.93994909194
1692,2,9,10,48,34453.64396308404
1693,2,9,12,48,34518.59094391159
1694,2,9,14,48,35961.41987168706
1695,2,9,16,48,35961.41987168706
1696,2,9,18,48,35961.41987168706
1697,2,9,20,48,35961.41987168706
1698,2,9,22,48,35961.41987168706
1699,2,9,24,48,35961.41987168706
1700,2,10,6,48,39165.897708918645
1701,2,10,8,48,35588.445054988646
1702,2,10,10,48,34926.7883509317
1703,2,10,12,48,34518.59094391159
1704,2,10,14,48,35961.41987168706
1705,2,10,16,48,35961.41987168706
1706,2,10,18,48,35961.41987168706
1707,2,10,20,48,35961.41987168706
1708,2,10,22,48,35961.41987168706
1709,2,10,24,48,35961.41987168706
1710,3,2,6,48,16969.46724051582
1711,3,2,8,48,17636.375546870575
1712,3,2,10,48,25614.42209745532
1713,3,2,12,48,33921.596601235644
1714,3,2,14,48,30330.21727424003
1715,3,2,16,48,31496.035524085713
1716,3,2,18,48,32329.966940026414
1717,3,2,20,48,35210.12433603199
1718,3,2,22,48,35205.741145886466
1719,3,2,24,48,35259.40673555512
1720,3,3,6,48,15969.987402518687
1721,3,3,8,48,19580.627400150126
1722,3,3,10,48,30193.607024043533
1723,3,3,12,48,32463.383319452394
1724,3,3,14,48,29852.563559329203
1725,3,3,16,48,32139.072740476407
1726,3,3,18,48,33484.50934661058
1727,3,3,20,48,35210.12433603199
1728,3,3,22,48,36162.89585952949
1729,3,3,24,48,35961.41987168706
1730,3,4,6,48,17734.359289743952
1731,3,4,8,48,20202.54215487926
1732,3,4,10,48,32319.314945562164
1733,3,4,12,48,32303.291752223486
1734,3,4,14,48,33372.25956911827
1735,3,4,16,48,32432.732004828402
1736,3,4,18,48,34875.8758864785
1737,3,4,20,48,35210.12433603199
1738,3,4,22,48,35961.41987168706
1739,3,4,24,48,35961.41987168706
1740,3,5,6,48,18564.687647852308
1741,3,5,8,48,26732.598579194022
1742,3,5,10,48,32150.188619808272
1743,3,5,12,48,33331.629808724974
1744,3,5,14,48,30781.889016331184
1745,3,5,16,48,33313.56241612801
1746,3,5,18,48,34823.22887375647
1747,3,5,20,48,36162.89585952949
1748,3,5,22,48,35961.41987168706
1749,3,5,24,48,35961.41987168706
1750,3,6,6,48,21664.579262369945
1751,3,6,8,48,30702.597865035714
1752,3,6,10,48,32713.799218292144
1753,3,6,12,48,36054.75273074503
1754,3,6,14,48,32779.136747365774
1755,3,6,16,48,32618.572130098728
1756,3,6,18,48,36167.398217485796
1757,3,6,20,48,35961.41987168706
1758,3,6,22,48,35961.41987168706
1759,3,6,24,48,35961.41987168706
1760,3,7,6,48,21494.406776427157
1761,3,7,8,48,32217.610656562083
1762,3,7,10,48,32246.40298984559
1763,3,7,12,48,35431.27281296172
1764,3,7,14,48,33809.801788471596
1765,3,7,16,48,34330.56160106966
1766,3,7,18,48,36887.48942148205
1767,3,7,20,48,35961.41987168706
1768,3,7,22,48,35961.41987168706
1769,3,7,24,48,35961.41987168706
1770,3,8,6,48,22981.710717769587
1771,3,8,8,48,32143.301440919236
1772,3,8,10,48,36084.223151319435
1773,3,8,12,48,33615.37483210743
1774,3,8,14,48,33057.971102485055
1775,3,8,16,48,34330.56160106966
1776,3,8,18,48,35965.897145451774
1777,3,8,20,48,35961.41987168706
1778,3,8,22,48,35961.41987168706
1779,3,8,24,48,35961.41987168706
1780,3,9,6,48,29130.72210864121
1781,3,9,8,48,32957.030624290586
1782,3,9,10,48,37796.604148096696
1783,3,9,12,48,33207.18841107452
1784,3,9,14,48,33454.810099189155
1785,3,9,16,48,36887.48942148205
1786,3,9,18,48,35965.897145451774
1787,3,9,20,48,35961.41987168706
1788,3,9,22,48,35961.41987168706
1789,3,9,24,48,35961.41987168706
1790,3,10,6,48,32531.264857223552
1791,3,10,8,48,34971.06034225866
1792,3,10,10,48,38127.860346273665
1793,3,10,12,48,32783.82363399623
1794,3,10,14,48,35014.08147409234
1795,3,10,16,48,36887.48942148205
1796,3,10,18,48,35965.897145451774
1797,3,10,20,48,35961.41987168706
1798,3,10,22,48,35961.41987168706
1799,3,10,24,48,35961.41987168706
1800,4,2,6,48,11562.635717845398
1801,4,2,8,48,16417.388274048437
1802,4,2,10,48,19264.28000913265
1803,4,2,12,48,25989.192015535213
1804,4,2,14,48,31270.40985771109
1805,4,2,16,48,28794.805097201883
1806,4,2,18,48,27446.03470603681
1807,4,2,20,48,32253.98070253527
1808,4,2,22,48,32837.271004909584
1809,4,2,24,48,36132.4412642849
1810,4,3,6,48,12709.933641262875
1811,4,3,8,48,16348.40722564074
1812,4,3,10,48,18948.21793343077
1813,4,3,12,48,25503.7186467968
1814,4,3,14,48,30579.568746691588
1815,4,3,16,48,31078.954891253237
1816,4,3,18,48,30537.354136266295
1817,4,3,20,48,33194.21170098186
1818,4,3,22,48,35793.8931547224
1819,4,3,24,48,35009.8119012394
1820,4,4,6,48,15245.213487903613
1821,4,4,8,48,17927.21629740432
1822,4,4,10,48,22320.610134686925
1823,4,4,12,48,31582.186533901273
1824,4,4,14,48,35043.127679269615
1825,4,4,16,48,28477.685379331346
1826,4,4,18,48,32360.120703626133
1827,4,4,20,48,33870.372759972204
1828,4,4,22,48,36136.93983057903
1829,4,4,24,48,35205.741145886466
1830,4,5,6,48,14903.212720991743
1831,4,5,8,48,19359.16887990524
1832,4,5,10,48,22979.405242385077
1833,4,5,12,48,31208.692040153925
1834,4,5,14,48,32610.346359114174
1835,4,5,16,48,28411.51637900431
1836,4,5,18,48,31990.720766830455
1837,4,5,20,48,35793.8931547224
1838,4,5,22,48,35205.741145886466
1839,4,5,24,48,35259.40673555512
1840,4,6,6,48,15544.785882856078
