date,available_capital,capital_locked_in_trades,total_capital,trades_open
2018-08-28 11:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 12:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 13:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 14:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 15:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 16:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 17:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 18:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 19:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 20:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 21:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 22:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-28 23:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 00:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 01:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 02:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 03:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 04:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 05:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 06:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 07:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 08:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 09:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 10:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 11:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 12:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 13:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 14:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 15:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 16:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 17:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 18:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 19:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 20:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 21:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 22:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-29 23:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 00:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 01:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 02:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 03:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 04:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 05:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 06:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 07:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 08:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 09:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 10:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 11:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 12:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 13:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 14:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 15:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 16:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 17:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 18:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 19:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 20:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 21:00:00,18.374388337568227,0.0,18.374388337568227,0
2018-08-30 22:00:00,16.491013532967482,1.8374388337568228,18.328452366724306,1
2018-08-30 23:00:00,16.590240797022826,1.7455668920689813,18.33580768909181,1
2018-08-31 00:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 01:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 02:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 03:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 04:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 05:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 06:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 07:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 08:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 09:00:00,18.593479775544424,0.0,18.593479775544424,0
2018-08-31 10:00:00,16.743428537877755,1.8593479775544424,18.602776515432197,1
2018-08-31 11:00:00,16.743428537877755,1.8593479775544424,18.602776515432197,1
2018-08-31 12:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 13:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 14:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 15:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 16:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 17:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 18:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 19:00:00,18.38025087897061,0.0,18.38025087897061,0
2018-08-31 20:00:00,18.38025087897061,0.0,18.38025087897061,0
