ticker,price,stop_loss,net_profit,pct,tp
LTC-BTC,0.015764,0.016004,-0.015224562293834091,0.015224562293834091,0
ETH-BTC,0.0634,0.06291000000000001,0.007342271293375251,0.007728706624605528,2
XRP-BTC,8.224e-05,8.101e-05,0.01420841439688716,0.014956225680933853,2
ETH-BTC,0.06349199999999999,0.062874,0.00024333774333774083,0.009733509733509633,1
ADA-BTC,3.176e-05,3.1e-05,-0.023929471032745574,0.023929471032745574,0
EOS-BTC,0.0010826,0.0010611,0.018866617402549447,0.019859597265841526,2
LTC-BTC,0.016971,0.01685,0.0067733191915620525,0.007129809675328477,2
ETH-USDT,517.36,504.08,0.024385340961806144,0.025668779959795943,2
ETH-BTC,0.063874,0.063261,0.00911716817484426,0.00959701913141501,2
ADA-BTC,3.182e-05,3.05e-05,0.03940917661847887,0.04148334380892513,2
LTC-BTC,0.017158,0.016855000000000002,0.0004414850215642816,0.017659400862571263,1
ETH-BTC,0.064093,0.063373,0.0002808419016117199,0.011233676064468795,1
EOS-BTC,0.0011182,0.0010727,0.03865587551421926,0.040690395278125534,2
LTC-BTC,0.017646000000000002,0.0175,0.007860138274963178,0.008273829763119135,2
LTC-BTC,0.017873,0.0175,-0.02086946791249361,0.02086946791249361,0
XRP-BTC,0.00010209,0.0001,-0.020472132432167583,0.020472132432167583,0
ETH-USDT,596.98,570.23,0.0011202217829743041,0.04480887131897216,1
BTC-USDT,8816.54,8706.5,0.00031202716711998374,0.01248108668479935,1
EOS-BTC,0.0012867,0.0012152,0.0013892127146965096,0.05556850858786038,1
ETH-BTC,0.068966,0.065328,0.050113099208305575,0.052750630745584816,2
ETH-USDT,611.8,589.0,0.03540372670807447,0.037267080745341546,2
BTC-USDT,8940.03,8762.32,-0.019878009357910537,0.019878009357910537,0
XRP-BTC,0.0001,9.52e-05,-0.04800000000000008,0.04800000000000008,0
EOS-BTC,0.0012969,0.001277,0.014577068393862283,0.015344282519855037,2
EOS-BTC,0.0013036,0.0012882999999999998,-0.01173672905799341,0.01173672905799341,0
BTC-USDT,8911.54,8831.0,-0.009037719630950528,0.009037719630950528,0
BTC-USDT,8924.11,8800.6,0.01314803380953397,0.013840035588983127,2
EOS-BTC,0.0013495,0.0012788,0.049770285290848405,0.05238977399036675,2
ADA-BTC,3.046e-05,3.146e-05,-0.032829940906106386,0.032829940906106386,0
EOS-BTC,0.0016448,0.001616,0.01663424124513621,0.017509727626459172,2
LTC-BTC,0.016287,0.01668,0.0006032418493276862,0.024129673973107446,1
ETH-BTC,0.071168,0.07067899999999999,0.006527512365107959,0.006871065647482062,2
ETH-BTC,0.0724,0.07067899999999999,0.0005942679558011099,0.023770718232044394,1
EOS-BTC,0.0017565,0.0016152,0.07642186165670367,0.08044406490179334,2
XRP-BTC,9.092e-05,9.181e-05,-0.009788825340959083,0.009788825340959083,0
LTC-BTC,0.016287,0.016365,0.004549640817830269,0.004789095597716073,2
