date,ticker,signal,price,stop_loss,tp
2018-10-09 09:00:00.000,EOS-BTC,long,0.0008886000000000002,0.0008811,2
2018-10-10 03:00:00.000,EOS-BTC,long,0.0008927,0.000884,1
2018-10-13 01:00:00.000,XRP-BTC,short,6.649e-05,6.852e-05,2
2018-10-14 04:00:00.000,XRP-BTC,short,6.653e-05,6.746e-05,2
2018-10-14 16:00:00.000,ETH-USDT,short,199.51,203.01,2
2018-10-14 18:00:00.000,XRP-BTC,short,6.471e-05,6.698e-05,1
2018-10-16 18:00:00.000,ETH-USDT,long,215.09,212.0,1
2018-10-17 11:00:00,BTC-USDT,long,6751.02,6676.01,1
2018-10-17 17:00:00.000,XRP-BTC,long,7.185e-05,7.076e-05,1
2018-10-18 06:00:00.000,LTC-BTC,short,0.008109,0.00823,1
2018-10-18 08:00:00.000,ADA-BTC,long,1.18e-05,1.171e-05,0
2018-10-19 19:00:00.000,ETH-USDT,short,204.53,207.3,0
2018-10-23 05:00:00.000,ADA-BTC,short,1.137e-05,1.177e-05,2
2018-10-25 13:00:00.000,XRP-BTC,long,7.156e-05,7.038e-05,0
2018-10-25 19:00:00.000,LTC-BTC,short,0.008045,0.008116,1
2018-10-26 00:00:00.000,ADA-BTC,short,1.135e-05,1.153e-05,1
2018-10-27 06:00:00.000,ADA-BTC,short,1.135e-05,1.144e-05,2
2018-10-29 06:00:00.000,ADA-BTC,short,1.119e-05,1.135e-05,2
2018-10-29 06:00:00,BTC-USDT,short,6429.9,6505.01,2
2018-10-31 01:00:00.000,ETH-USDT,short,196.74,198.34,1
2018-10-31 04:00:00.000,LTC-BTC,short,0.007761,0.007838,2
2018-10-31 09:00:00.000,ETH-BTC,short,0.030977,0.03125,0
2018-11-01 21:00:00.000,EOS-BTC,long,0.0008273,0.0008187000000000001,2
2018-11-03 06:00:00.000,LTC-BTC,long,0.008038,0.007972,1
2018-11-04 00:00:00.000,ADA-BTC,long,1.159e-05,1.115e-05,1
2018-11-04 01:00:00.000,LTC-BTC,long,0.0081,0.007912,2
2018-11-04 02:00:00.000,EOS-BTC,long,0.000849,0.0008300000000000001,1
2018-11-06 03:00:00,BTC-USDT,long,6498.53,6445.18,2
2018-11-09 07:00:00.000,EOS-BTC,short,0.0008457000000000001,0.0008597999999999999,1
2018-11-10 21:00:00.000,LTC-BTC,short,0.00811,0.008197,2
2018-11-10 21:00:00.000,EOS-BTC,short,0.0008394,0.0008470000000000001,2
2018-11-12 14:00:00.000,ADA-BTC,long,1.195e-05,1.176e-05,0
2018-11-13 11:00:00.000,LTC-BTC,short,0.007895000000000001,0.007989,2
2018-11-16 06:00:00.000,LTC-BTC,short,0.007678,0.007789,1
2018-11-16 06:00:00.000,ETH-BTC,short,0.031802,0.032197,2
2018-11-16 09:00:00.000,ADA-BTC,short,1.096e-05,1.113e-05,1
2018-11-17 02:00:00.000,XRP-BTC,long,8.554e-05,8.411e-05,2
2018-11-17 16:00:00.000,ETH-USDT,short,175.94,177.29,0
2018-11-18 16:00:00.000,LTC-BTC,short,0.007506999999999998,0.007633,2
2018-11-18 19:00:00,BTC-USDT,short,5593.93,5738.17,1
2018-11-21 04:00:00.000,EOS-BTC,long,0.0008288,0.0008187000000000001,1
2018-11-21 12:00:00.000,LTC-BTC,short,0.007392,0.007494,0
2018-11-21 21:00:00.000,EOS-BTC,long,0.0008334,0.0008254,0
2018-11-22 04:00:00,BTC-USDT,short,4582.8,4721.77,1
2018-11-22 07:00:00.000,ADA-BTC,short,1.017e-05,1.047e-05,2
2018-11-22 17:00:00.000,XRP-BTC,long,9.795e-05,9.647e-05,0
2018-11-23 22:00:00.000,ADA-BTC,short,9.92e-06,1.004e-05,2
2018-11-24 02:00:00.000,LTC-BTC,short,0.007386,0.00755,0
2018-11-24 02:00:00.000,ADA-BTC,short,9.81e-06,1.004e-05,2
2018-11-24 10:00:00,BTC-USDT,short,4338.13,4450.0,2
2018-11-24 13:00:00.000,ETH-USDT,short,121.82,125.86,2
2018-11-26 13:00:00.000,EOS-BTC,long,0.000842,0.0008218,1
2018-11-26 19:00:00.000,ADA-BTC,short,9.3e-06,9.5e-06,0
2018-11-29 02:00:00.000,LTC-BTC,long,0.008209000000000001,0.008018,0
2018-12-01 06:00:00.000,XRP-BTC,short,8.936e-05,9.087e-05,2
2018-12-01 08:00:00.000,EOS-BTC,short,0.0007074,0.0007191,2
2018-12-02 11:00:00.000,LTC-BTC,long,0.008175,0.008037,0
2018-12-02 12:00:00.000,LTC-BTC,long,0.008179,0.008037,0
2018-12-02 16:00:00.000,EOS-BTC,short,0.0006847,0.0007099000000000001,0
2018-12-04 15:00:00.000,LTC-BTC,short,0.007897,0.00799,2
2018-12-09 20:00:00.000,ADA-BTC,short,8.65e-06,8.94e-06,0
2018-12-11 06:00:00.000,LTC-BTC,short,0.006957,0.007142,0
2018-12-11 06:00:00.000,ETH-BTC,short,0.02585,0.026534,2
2018-12-12 22:00:00.000,LTC-BTC,short,0.007002,0.007178,1
2018-12-13 00:00:00,BTC-USDT,short,3386.0,3472.73,2
2018-12-13 02:00:00.000,XRP-BTC,long,8.914e-05,8.801e-05,2
2018-12-16 17:00:00,BTC-USDT,short,3228.67,3267.0,0
2018-12-16 19:00:00.000,XRP-BTC,short,8.840000000000001e-05,8.945e-05,0
2018-12-17 06:00:00.000,ADA-BTC,long,9.08e-06,8.92e-06,2
2018-12-17 12:00:00.000,ETH-BTC,long,0.027077,0.026161,2
2018-12-18 11:00:00.000,ADA-BTC,long,9.3e-06,9.1e-06,2
2018-12-22 14:00:00.000,ADA-BTC,long,1.045e-05,1.019e-05,2
2018-12-25 17:00:00.000,XRP-BTC,long,0.00010038,9.809e-05,1
2018-12-26 21:00:00.000,EOS-BTC,short,0.0006672999999999999,0.0006799999999999999,2
2018-12-27 09:00:00,BTC-USDT,short,3717.96,3760.95,2
2018-12-30 06:00:00.000,EOS-BTC,long,0.0006864,0.0006756,1
