average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[5, 25, 233]",1.0333,1.1446,0.2169,0.4216,0.5275,0.8172,0.6935,4.1610,266,339,168,57,168,998
"[5, 15, 50]",0.5342,0.8673,0.5168,-0.1172,1.1173,1.2187,0.6895,4.1371,374,419,210,69,209,1281
"[21, 30, 233]",0.6709,0.4574,0.2036,0.4007,1.0589,1.3407,0.6887,4.1322,200,276,150,42,135,803
"[8, 15, 60]",0.4632,0.8083,0.3196,0.0141,0.9263,1.5917,0.6872,4.1232,351,431,226,71,204,1283
"[21, 30, 150]",0.6654,0.5733,0.2602,0.3811,0.9178,1.3210,0.6865,4.1188,192,270,151,37,137,787
"[5, 13, 34]",0.7472,0.9831,0.0267,0.2230,1.3474,0.7714,0.6831,4.0987,354,439,230,69,210,1302
"[21, 25, 40]",0.2471,-0.0827,0.3431,0.5697,1.2391,1.7804,0.6828,4.0966,257,311,162,54,157,941
"[15, 21, 233]",0.4398,0.6614,0.4049,0.3867,0.7878,1.4076,0.6813,4.0880,302,369,183,73,169,1096
"[15, 21, 150]",0.3311,0.8669,0.4096,0.3963,0.7406,1.3428,0.6812,4.0873,307,366,178,66,172,1089
"[5, 21, 55]",0.5599,1.2111,0.3502,0.0177,0.7060,1.2360,0.6801,4.0808,254,352,163,61,169,999
"[15, 21, 144]",0.3415,0.8669,0.3638,0.4120,0.7406,1.3498,0.6791,4.0746,306,365,178,65,172,1086
"[15, 21, 89]",0.4181,1.0155,0.3169,0.3663,0.6995,1.2570,0.6789,4.0732,282,358,179,65,165,1049
"[5, 21, 200]",0.7484,0.7103,0.2984,0.0958,0.7083,1.5104,0.6786,4.0715,306,386,181,72,185,1130
"[5, 21, 75]",0.5398,1.2005,0.2814,0.0432,0.7254,1.2763,0.6778,4.0666,263,356,171,64,175,1029
"[5, 13, 40]",0.7882,1.0301,0.0683,0.1395,1.1220,0.8833,0.6719,4.0314,387,472,238,74,221,1392
"[15, 21, 100]",0.4063,0.9904,0.4061,0.3427,0.6276,1.2493,0.6704,4.0225,294,358,183,66,167,1068
"[21, 30, 100]",0.7819,0.5985,0.1236,0.3720,0.8714,1.2740,0.6702,4.0213,181,260,138,38,132,749
"[21, 30, 60]",0.7220,0.4635,0.2704,0.3212,0.9624,1.2749,0.6691,4.0143,157,252,123,38,122,692
"[8, 15, 55]",0.4963,0.7958,0.3327,-0.0203,0.9941,1.4116,0.6684,4.0102,348,426,228,73,199,1274
"[21, 30, 144]",0.6960,0.5017,0.1986,0.3475,0.9162,1.3261,0.6644,3.9861,191,270,151,37,134,783
"[5, 21, 233]",0.8528,0.6783,0.3024,0.1007,0.6869,1.3613,0.6637,3.9824,308,385,185,73,183,1134
"[10, 30, 233]",0.8716,0.4965,0.1652,0.5071,0.8924,1.0447,0.6629,3.9775,171,247,128,47,125,718
"[5, 21, 89]",0.6076,1.2224,0.2570,0.0973,0.5862,1.1868,0.6595,3.9573,273,368,175,64,177,1057
"[5, 21, 60]",0.5113,1.2502,0.2932,0.0744,0.6415,1.1865,0.6595,3.9571,260,358,166,60,170,1014
"[5, 21, 150]",0.5405,1.0178,0.3636,0.0605,0.6495,1.3185,0.6584,3.9503,304,379,179,73,183,1118
"[8, 15, 89]",0.3207,0.8250,0.3028,0.0610,0.8197,1.5838,0.6522,3.9130,378,445,229,70,210,1332
