average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC
"[2, 16, 72]",0.4593592998953887,0.8909855181693646,0.4424344859296331,-0.09124714544138679,0.6362561802009576,0.9227216950053443
"[2, 16, 76]",0.45594293343042824,0.9064513848781776,0.45214331768087135,-0.05630485816333258,0.6386056213725658,0.9065130845223054
"[2, 18, 20]",0.18615730348689224,0.25792561577461254,-0.028479826212538174,-0.11590676984638149,0.5050959568687812,0.7499621424542032
"[2, 18, 24]",0.2145266601262802,0.32090573195238337,0.1461208689524065,-0.06582490097918037,0.9135376783168165,0.7481859731491101
"[2, 18, 28]",0.4853982572779273,0.34493195659904946,0.10367341251309346,-0.26129963230762576,0.8629109193350092,0.9809161997455792
"[2, 18, 32]",0.47788139538280083,0.6584159851767356,0.1556311773898362,-0.16775352856104056,0.8585068864833841,0.97585071107211
"[2, 18, 36]",0.6083108207777501,0.6048542579182147,0.2737326447373814,-0.14626516279824822,0.7718522280455763,0.9889182294089893
"[2, 18, 40]",0.61195413593736,0.5895426361694676,0.32019399219154543,-0.08915342475530844,0.6424354710328691,1.0144940333660588
"[2, 18, 44]",0.7504969784961862,0.7846891901375765,0.3846785846029333,-0.11700566204156611,0.7040030307359494,1.038965525152486
"[2, 18, 48]",0.8009896553589155,0.8302591633020843,0.3672564282404411,0.005090898803433941,0.69579413018721,1.0172403651018882
"[2, 18, 52]",0.9156877877346382,0.8638650577267329,0.3551948690578384,0.07827560808908639,0.745856912995484,0.9379978567234847
"[2, 18, 56]",0.8795879188903524,0.8788757703140592,0.3553319354968348,0.10411245292199645,0.6934289953144241,0.8892626095279359
"[2, 18, 60]",0.8168169253432878,0.9078306623039636,0.3762695508143689,0.07453044153044433,0.6367179345963443,0.7912215981908197
"[2, 18, 64]",0.7897365825484435,1.0649921313071147,0.4096115064041561,0.01182775067251074,0.5193934110145033,0.8375044859538957
"[2, 18, 68]",0.8182316756190576,1.1288420640878918,0.35416201898029087,0.02081571773142854,0.5350505504344637,0.8962332725727292
"[2, 18, 72]",0.9401044883856104,0.9975523728628242,0.3897470632588315,0.03363200645059661,0.6519823469140406,0.8995346613063184
"[2, 18, 76]",0.8828657050676154,0.9946066454653504,0.34421763943240025,0.03411583545527784,0.6207369592563785,0.8072014867564439
"[2, 20, 20]",0.10739689194781615,0.4530513183251418,-0.03031092025146105,0.15194909462626716,0.6212020595368299,1.0065165537143494
